"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"10495",367940,140,"APTS",1,2,6,793,3,3,0,4,4,3,1955,1978,100,"N","N","N",0,"1484 S COLUMBIAN WAY 98144"
"10524",912200,965,"5 UNIT APT",1,1,5,416,3,3,0,4,4,3,1959,1981,100,"N","N","N",1,"2345 24TH AVE S 98144"
"10532",57000,295,"Westview Apartment Homes",6,3,140,537,3,4,15,4,5,4,1918,1997,100,"N","Y","N",1,"2525 14TH AVE S 98144"
"10536",125020,715,"APARTMENT BLDG 6 UNITS",1,2,6,701,3,2,0,4,3,3,1910,1970,100,"N","N","N",0,"2608 S LANE ST 98144"
"10551",859040,870,"ENVOY APARTMENTS",1,4,44,435,3,3,0,3,4,3,1929,1977,100,"N","Y","N",1,"821 9TH AVE 98104"
"10582",374050,90,"FOUR PLEX",1,2,4,822,3,2,0,4,3,3,1910,1970,100,"N","N","N",0,"417 28TH AVE S 98144"
"10647",766010,255,"C VII APTS",1,3,19,644,3,3,30,4,5,4,1963,1991,100,"N","N","N",1,"1701 13TH AVE S 98144"
"10648",713330,135,"APARTMENTS",1,3,4,630,3,2,100,4,4,4,1913,1982,100,"N","N","N",1,"1318 15TH AVE S 98144"
"10654",253884,0,"High-Rise Condo",1,24,127,1110,3,3,0,1,6,3,2007,2007,100,"Y","Y","Y",2,"909 5TH AVE 98104"
"10688",859040,910,"APARTMENT BLDG & RESTAURANT",1,4,75,520,2,3,0,3,4,4,1902,1979,100,"Y","Y","N",1,"823 MADISON ST 98104"
"10691",539360,460,"4-PLEX",1,2,4,840,3,3,25,4,5,4,1910,1979,100,"N","N","N",0,"2321 14TH AVE S 98144"
"10692",388190,170,"5 UNIT",1,1,5,544,3,3,0,4,6,3,1952,1982,100,"N","N","N",0,"1808 12TH AVE S 98144"
"10860",754830,880,"APTS",1,2,10,688,3,2,0,4,2,3,1919,1972,100,"N","Y","N",1,"1757 20TH AVE S 98144"
"10872",605860,90,"4 - PLEX",1,2,4,687,3,2,0,4,3,4,1907,1978,100,"N","N","N",2,"2510 S CHARLES ST 98144"
"10884",912200,230,"YOUNGS APARTMENT",1,4,15,747,3,3,50,4,4,3,1968,1985,100,"N","N","N",1,"2414 13TH AVE S 98144"
"10896",42404,9057,"4 PLEX",1,1,4,775,0,0,0,4,4,3,1963,1982,100,"N","N","N",1,"824 28TH AVE S 98144"
"10915",364610,140,"APARTMENT BLDG 18 UNITS",1,3,18,878,3,3,0,4,4,4,1967,1985,100,"N","Y","N",2,"219 22ND AVE S 98144"
"10919",713330,695,"APARTMENTS",1,3,6,643,3,3,60,3,5,3,1967,1988,100,"N","N","N",1,"1502 14TH AVE S 98144"
"10949",787940,30," ",1,7,208,597,3,3,0,4,5,3,2004,2004,32,"Y","Y","N",2,"3700 RAINIER AVE S 98144"
"10989",859040,825," Skilled nursing not included in units",1,26,201,1172,3,3,0,2,8,3,2008,2008,50,"Y","Y","N",2,"710 8TH AVE 98104"
"11017",138980,35,"EL CENTRO DE LA RAZA",3,3,14,814,3,3,0,4,4,4,1994,2003,100,"N","Y","N",1,"2522 14TH AVE S 98144"
"11028",346450,0,"2 BLDG CONDO",2,3,11,653,2,3,0,4,4,3,1969,1985,100,"N","N"," ",1,"3304 27TH AVE S 98144"
"11106",713330,690,"5 UNIT APT HOUSE",1,2,5,720,3,3,40,4,4,3,1978,1988,100,"N","N","N",1,"1506 14TH AVE S 98144"
"11138",923750,0,"FLATS",1,5,72,756,3,3,0,4,4,3,2004,2004,100,"Y","Y","N",2,"425 23RD AVE S 98144"
"11151",138980,100,"APARTMENT",1,2,13,709,3,3,0,4,4,3,1929,1977,100,"N","Y","N",1,"2541 15TH AVE S 98144"
"11222",261746,0,"5 unit condo",1,2,5,862,3,3,0,4,4,3,1999,1999,0,"N","N","Y",2,"1546 17TH AVE S 98144"
"11267",128230,490,"10 UNIT APT",1,3,10,757,3,3,0,4,4,3,1968,1985,100,"N","N","N",1,"2805 S BYRON ST 98144"
"11273",331950,615,"FOUR PLEX",1,2,4,903,3,2,50,4,4,3,1904,1971,100,"N","N","N",1,"1600 S MAIN ST 98144"
"11284",94200,460,"DOVER APTS",1,5,59,552,2,3,0,3,4,3,1907,1974,100,"Y","Y","N",1,"901 6TH AVE 98104"
